"dist_km","media_tempo_entrega_min","pedidos"
"1209.0","36.2","22"
"1211.0","34.1","14"
"1212.0","42.0","11"
"1213.0","41.8","19"
"1214.0","38.3","14"
"1215.0","43.2","16"
"1216.0","37.2","24"
"1217.0","44.7","18"
"1218.0","36.6","17"
"1219.0","35.5","25"
"1221.0","38.8","14"
"1222.0","43.8","22"
"1223.0","38.3","13"
"1224.0","32.2","16"
"1225.0","38.7","10"
"1226.0","34.5","11"
"1227.0","38.3","9"
"1228.0","35.9","17"
"1229.0","40.5","21"
"1231.0","43.0","12"
"1232.0","36.0","14"
"1233.0","41.5","12"
"1234.0","33.0","9"
"1235.0","41.1","12"
"1236.0","40.9","8"
"1237.0","51.4","13"
"1238.0","31.9","11"
"1239.0","39.7","22"
